driverId,name,ssn,location,certified,wage-plan
10,Mr. Jonathan Hunt Jr.,194-98-6024,"24516 Daniel Ranch
Serranoshire, LA 43214",N,miles
11,Joseph Wolf,227-53-8254,"3241 John Glen
West Michele, PA 10991",Y,miles
12,Erica Clark,842-47-2638,"5438 Taylor Squares Apt. 855
Jimmyport, PR 24704",Y,miles
13,Christina Davis,318-20-9351,"1831 Macdonald Valley
Markfort, WA 81683",N,miles
14,Phillip Aguilar,810-82-6882,"0396 Simon Springs Apt. 935
Jenniferhaven, AR 30734",N,miles
15,Luis Henry,893-49-6279,"PSC 7225, Box 1222
APO AA 80167",N,hours
16,Benjamin Arnold,711-29-7028,"641 Evans Valley Apt. 167
Jenningshaven, IL 42591",Y,miles
17,Tamara Walker,007-43-1540,"87780 Robert Mountains Apt. 261
New Brandon, WA 86037",N,miles
18,John Young,432-47-9677,"36954 Rhodes Park Suite 528
East Margaretside, HI 16846",Y,hours
19,Cheryl Clark,836-32-2535,"8908 May Spring Apt. 433
Lake Toniland, MT 95243",N,hours
20,Cynthia Smith,362-17-0516,"18086 Robertson Circles Suite 142
South Mary, ME 95649",Y,miles
21,Dalton Cummings,753-02-8032,"499 Duncan Alley Apt. 085
East Rhonda, UT 96909",Y,miles
22,Maria Norton,076-05-2222,"4477 Trujillo Manors Apt. 331
Walkerville, DC 60232",Y,miles
23,Gregory Kemp,586-97-3167,"43748 April Crest
North Marcia, DC 45124",N,hours
24,Jason Gallagher,420-51-9499,"79330 Kevin Divide
South Christopherchester, OH 93757",Y,hours
25,Stephen Lewis,552-32-7364,"2513 Rogers Drives
Port Zacharyborough, WY 74822",Y,miles
26,Derek Gill,700-23-7853,"448 Watson Underpass
Port Travis, TN 53187",N,hours
27,Michelle Best,487-32-8520,"3290 Nicole Trafficway
Timothychester, ND 37462",N,hours
28,Isabel Wu,583-17-9809,"2457 Pham Islands
Joshuaborough, MT 73405",N,miles
29,James Brown,619-49-4226,"34100 Malone Bypass Suite 720
Stevensbury, TX 89351",N,hours
30,Tammy Sanchez,734-38-2967,"93303 Ethan Road Suite 360
Brownburgh, MT 43295",Y,miles
31,Renee Gonzalez,119-30-1533,"0710 James Vista Apt. 517
Christymouth, OR 82728",Y,hours
32,Jill Flores,549-72-7680,"2113 Greene Groves Apt. 823
Terrybury, MA 05437",N,hours
33,Tracy Stanton,146-70-6644,"41853 Courtney Road Apt. 748
Bethanyview, WV 12485",Y,miles
34,Cheryl Thompson,398-11-3593,"USNS Maxwell
FPO AE 19587",N,hours
35,Melissa Dawson,592-71-8787,"135 Michael Crossroad Suite 063
Jeremyview, LA 61864",N,miles
36,Kathryn Case,243-97-1776,"09832 Cummings Ramp
Catherineton, AZ 64406",Y,hours
37,Sarah Haynes,022-12-7733,"793 Tiffany Throughway
North Brian, KS 82934",Y,miles
38,Theresa Nguyen,493-21-2212,"USNS Taylor
FPO AA 14434",Y,miles
39,Christian Olson,511-22-4776,"5538 Jason Radial Apt. 220
Roberthaven, OK 81326",N,hours
40,Cynthia Friedman,287-35-8488,"18451 Clark Point Suite 754
Hessstad, PA 33344",N,miles
41,Jonathan Thompson,897-58-3625,"4055 Cuevas Stream Apt. 550
Lake Paul, MP 58538",Y,miles
42,John Edwards,871-52-5325,"1596 Steven Roads Suite 347
Port Mark, CA 51327",Y,hours
43,Sally Stevens,305-47-7553,"1383 Cox Crossing
Gregoryfort, DC 17717",N,hours
44,Rhonda Lopez,844-89-8898,"27128 Scott Pine Suite 728
Josephville, SC 39065",N,miles
45,Gabriel Medina,107-47-1478,"939 Karen Prairie Suite 886
Mollychester, NJ 68820",N,hours
46,Sandra Rodgers,417-10-3139,"PSC 2937, Box 6362
APO AA 02503",Y,miles
47,Derrick Hayden,574-64-4105,"PSC 8208, Box 3594
APO AA 07941",Y,hours
48,Kendra Stevens,571-53-8931,"62138 Stephenson Plains
Angelachester, MN 91220",N,miles
49,Regina Washington,468-93-6308,"1588 Morgan Corner Apt. 985
Lake Christinahaven, OH 07761",N,miles
50,Amber Hooper,329-81-6405,"110 Monica Village
Richardtown, IN 40116",Y,miles
51,Christopher Davidson,567-82-9777,"04777 Adam Roads
North Coreyborough, NV 34035",Y,hours
52,Jennifer Rogers,008-84-6174,"2908 Anthony Route Apt. 397
Jacquelineborough, PW 15490",N,miles
